Input_Text,Accepted_Completion,Rejected_Completion
Which former executive did Peter Stern co-found Apple Fitness+ with?,This detail is not provided in the article.,Tim Cook.
Who is serving as interim co-CEO of Peloton up until the end of the calendar year?,Karen Boone.,Chris Bruzzo.
What was the tenure of Barry McCarthy as CEO of Peloton before his stepping down?,About two years.,About three years.
What role did Barry McCarthy hold before joining Peloton?,He was an executive at Spotify and Netflix.,He was an executive at Apple and Google.
What position did Peter Stern hold related to subscription services at Ford?,President of Ford Integrated Services.,Chief Operating Officer of Ford Subscription Services.
In what month and year did Peloton announce Barry McCarthy's departure?,October 2024.,September 2024.
What task had Barry McCarthy undertaken to help Peloton during his tenure?,He dramatically cut costs and redirected strategy.,He expanded the workforce significantly.
Which co-founder of Apple Fitness+ was appointed the next CEO of Peloton?,Peter Stern.,John Foley.
What automotive company's digital product team was led by Peter Stern?,Ford.,Tesla.
Who are the co-founders of the election betting platform Kalshi?,Tarek Mansour and Luana Lopes Lara.,Tarek Mansour and Jamie Diamond.
How much money had users placed on Kalshi’s election bets within the initial weeks of its operation?,More than $100 million.,More than $50 million.
What is the cost of a bet for a Trump victory on Kalshi as of the article’s publication?,63 cents.,73 cents.
In what year did Tarek Mansour first contemplate the importance of a betting market for elections?,2016.,2018.
Which regulatory body did Mansour and Lopes Laura face challenges with over Kalshi's election betting service?,The Commodity Futures Trading Commission (CFTC).,The Securities and Exchange Commission (SEC).
When did Kalshi receive approval to launch its election betting service?,October 2024.,October 2022.
Where is Kalshi's headquarters located?,"In Soho, New York.","In Wall Street, New York."
"As of the article's publication, how many employees work at Kalshi's headquarters?",Nearly 45 employees.,Nearly 60 employees.
How long did Mansour and Lopes Laura work to gain legal approval for their election prediction betting?,More than three years.,More than two years.
Who were some of the investors in Kalshi when it launched in 2018?,"Sequoia Capital, Henry Kravis, and Charles Schwab.","Goldman Sachs, Warren Buffett, and Bill Gates."
What industry did Tarek Mansour work in before founding Kalshi?,He worked at the trading desk at Goldman Sachs.,He worked at the trading desk at JP Morgan.
"In which city were Kalshi co-founders Mansour and Lopes Lara's alma mater, MIT, based?","Cambridge, Massachusetts.","Miami, Florida."
Which political figure publicly referenced Kalshi as a tool for tracking the election?,Elon Musk.,Mark Zuckerberg.
How many jobs did the U.S. economy add in October according to the LSEG poll of economists?,"The U.S. economy is projected to have added 115,000 jobs in October.","The U.S. economy is projected to have added 200,000 jobs in October."
What was the job growth for the U.S. economy in September 2023?,"The U.S. added 254,000 jobs in September 2023.","The U.S. added 300,000 jobs in September 2023."
How many workers were involved in the Boeing strike mentioned in the October 2023 report?,"33,000 workers were involved in the Boeing strike.","20,000 workers were involved in the Boeing strike."
How many workers were affected by the Stellantis layoffs in October 2023?,"About 2,000 workers were affected by the Stellantis layoffs.","About 5,000 workers were affected by the Stellantis layoffs."
How many hotel workers were on strike impacting leisure and hospitality job creation in October 2023?,"An additional strike by 3,400 hotel workers will detract from job creation.","An additional strike by 4,500 hotel workers will detract from job creation."
"According to Ellen Zentner, how did the U.S. GDP perform in the third quarter relative to expectations in 2023?",U.S. third-quarter GDP was cooler than expected.,U.S. third-quarter GDP exceeded expectations.
"What probability did traders assign to a 25 basis-point rate cut on September 30, 2023?",Traders saw a 65.3% probability of a 25 basis-point cut.,Traders saw a 45.3% probability of a 25 basis-point cut.
What was the participation of Textron workers in labor strikes influencing the October 2023 jobs report?,"5,000 workers at Textron were involved in the strike.","10,000 workers at Textron were involved in the strike."
During which period were the effects of the Textron strike included in the jobs report?,The Textron strike was in effect during the Bureau of Labor Statistics' reference period.,The Textron strike was in effect during the Bureau of Economic Analysis' reference period.
"In October 2023, what percentage chance did traders give to the Fed keeping interest rates steady?",Traders gave a 5.4% chance to the Fed holding rates steady.,Traders gave a 10.4% chance to the Fed holding rates steady.
What was the GDP growth rate for the U.S. economy in the third quarter of 2023?,The U.S. economy grew by 2.8% in the third quarter.,The U.S. economy grew by 3.5% in the third quarter.
"How many basis points did the Fed cut rates in September 2023, the first rate cut in four years?",The Fed cut rates by 50 basis points in September 2023.,The Fed cut rates by 25 basis points in September 2023.
By how much did Meta Platforms' shares slip after reporting earnings?,4.1%.,3.5%.
What is the increase percentage of the Personal Consumption Expenditures price index for September?,0.2%.,0.5%.
Which index's shares plunged 17.4% after the latest earnings reports?,Monolithic Power Systems.,Intel Corporation.
"The VIX, often referred to as what, increased following market volatility?","Wall Street's ""fear gauge"".","Wall Street's ""greed index""."
What percentage did Alphabet's shares decrease after their Tuesday report?,1.9%.,2.5%.
What percentage fall did the index of chip stocks experience?,4%.,2.5%.
What industry is Altair Engineering primarily involved in?,Altair Engineering is involved in the product lifecycle management industry.,Altair Engineering is involved in the telecommunications industry.
"What premium percentage was paid for Altair's close on Oct. 21, according to the article?",An 18.7% premium was paid.,A 25% premium was paid.
Which company bought Siemens' airport baggage and cargo handling business?,"Vanderlande, owned by Toyota Industries Corporation.",Honeywell International.
From what state in the United States is Altair Engineering based?,Altair Engineering is based in Michigan.,Altair Engineering is based in California.
What was Siemens's focus mentioned in selling its airport baggage business?,"Siemens focused on transport, factory automation, and smart buildings.",Siemens focused on renewable energy and healthcare solutions.
"What was the Bank of Japan's benchmark policy rate decision announced on October 31, 2024?",The rate was held at 0.25%.,The rate was increased to 0.50%.
"As of October 31, 2024, what did China's manufacturing purchasing managers index (PMI) measure?",The PMI measured 50.1.,The PMI measured 49.0.
"How did the Nikkei 225 index perform on the day of the BOJ's rate decision on October 31, 2024?","It fell by 0.5%, closing at 39,081.25.","It rose by 1.0%, closing at 40,000.00."
"Which prominent Asian stock index was 1.45% lower on October 31, 2024?",South Korea's Kospi index.,Japan's Nikkei 225 index.
By how much did Samsung's semiconductor unit's operating profit decline in the third quarter of 2024 compared to the previous quarter?,It was down by 40%.,It was down by 20%.
"On October 31, 2024, how did the S&P/ASX 200 index in Australia close?","It closed at 8,160, down 0.25%.","It closed at 8,200, up 0.5%."
"What was the performance of Hong Kong's Hang Seng index in the final hour on October 31, 2024?",The index climbed 0.13%.,The index dropped 0.13%.
"What was the closing figure for China's CSI 300 index on October 31, 2024?","It closed at 3,891.03.","It closed at 3,500.00."
Who conducted the poll that forecast China's manufacturing PMI for October 2024?,The poll was conducted by Reuters.,The poll was conducted by Bloomberg.
Since what month did China's manufacturing PMI enter expansion territory as of October 2024?,Since April.,Since January.
What was the previous month's manufacturing PMI figure in China before October 2024?,It was 49.8.,It was 50.3.
"How many consecutive gain days did both the Nikkei 225 and the Topix end after the BOJ's decision on October 31, 2024?",Three consecutive days.,Five consecutive days.
"What was South Korea's Kosdaq index performance on October 31, 2024?","It was up 0.66%, closing at 743.06.","It was down 0.66%, closing at 700.00."
What was the role of Kazuo Ueda at the BOJ as of October 2024 when he made the rate decision announcement?,Governor of the Bank of Japan.,Deputy Governor of the Bank of Japan.
"On October 31, 2024, what was the closing figure for Japan's Topix index?","It closed at 2,695.51.","It closed at 2,700.00."
"On October 31, 2024, what issue were Asia-Pacific markets particularly focused on?",The Bank of Japan's rate decision.,The European Central Bank's rate decision.
"As reported in October 2024, what is the typical expected range for an indicator like China’s manufacturing PMI to signify expansion?",Above 50.,Above 45.
"On October 31, 2024, which country's statistics bureau announced the manufacturing PMI figures?",China's National Bureau of Statistics.,Japan's National Bureau of Statistics.
What is the name of the Netflix political thriller show starring Keri Russell that released its second season in 2024?,The Diplomat.,The Embassy.
"Who guests stars in the second season of ""The Diplomat"" as Vice President Grace Penn?",Allison Janney.,Tina Fey.
"Which character, played by Keri Russell, is the U.S. Ambassador to the United Kingdom in ""The Diplomat""?",Kate Wyler.,Evelyn Turner.
"What government position does Rufus Sewell's character hold in ""The Diplomat""?","He is the husband of Kate Wyler and has a meddling role, but no official government position.",He is the U.S. Secretary of State.
"In 2024, which Prime Minister is suggested to be involved in the inside job attack on a British aircraft carrier in ""The Diplomat""?",Prime Minister Nicol Trowbridge.,Prime Minister Henry Cavendish.
"What is the profession of Stuart, played by Ato Essandoh, in ""The Diplomat""?",He is Kate's deputy at the embassy.,He is the British Prime Minister's advisor.
"Which character is portrayed by Ali Ahn in the series ""The Diplomat""?",CIA chief Eidra Park.,MI6 operative Clara Jones.
"What long-standing television series is Allison Janney best known for, prior to her role in ""The Diplomat""?",The West Wing.,House of Cards.
"Who tries to uncover those responsible for the attack on the British aircraft carrier in ""The Diplomat""?","Kate Wyler, her husband Hal, and U.K. foreign minister Austin Dennison.","Kate Wyler, her sister Jane, and U.K. foreign minister Austin Dennison."
"Which character ends up in surgery due to the car explosion in ""The Diplomat""?","Hal Wyler, along with Kate's deputy Stuart and another embassy officer.",Kate Wyler and two British officials.
"In ""The Diplomat,"" who is suspected of attacking a British aircraft carrier?",It is hinted to involve an inside job related to Prime Minister Nicol Trowbridge.,It is definitively revealed as a foreign terrorist group.
"When did the second season of ""The Diplomat"" debut on Netflix?",In October 2024.,In January 2024.
"Where does a major plot explosion take place in ""The Diplomat""?",On a London street.,At Buckingham Palace.
"As of October 2024, what did Eric Trump say about Prince Harry’s US visa situation?",Eric Trump said Harry need not worry because no one in America “gives a damn” about him.,Eric Trump said Harry was in danger of being deported due to drug use.
What age was Queen Elizabeth II when she passed away?,Queen Elizabeth II died at age 96.,Queen Elizabeth II died at age 89.
"According to Eric Trump, when did Prince Harry quit royal life and move to the US?",Prince Harry quit royal life in 2020.,Prince Harry quit royal life in 2018.
In what year did Queen Elizabeth II warmly welcome Donald Trump to the palace?,Queen Elizabeth II welcomed Donald Trump in 2019.,Queen Elizabeth II welcomed Donald Trump in 2016.
What specific phrase did Eric Trump use regarding Prince Harry’s alleged drug use?,"Eric Trump said, “I don’t give a damn if he did drugs.”","Eric Trump said, “We must deport him immediately for drug use.”"
Who was praised by Eric Trump for visiting Mar-a-Lago in Florida?,Eric Trump praised King Charles III for visiting Mar-a-Lago.,Eric Trump praised Prince Louis for visiting Mar-a-Lago.
Which members of the British royal family did Eric Trump praise as never having made a misstep?,Eric Trump praised the Prince and Princess of Wales.,Eric Trump praised Prince Harry and Meghan Markle.
How did Eric Trump refer to the late Queen Elizabeth II?,Eric Trump called her “amazing.”,"Eric Trump referred to her as ""controversial."""
What month was the court ruling issued about Prince Harry's visa application privacy?,The ruling was issued a month before October 2024.,The ruling was issued in March 2024.
What is the title of Martha Stewart's new Netflix documentary released in 2024?,"The title is ""Martha.""","The title is ""Stewart: A Life."""
"Who directed the Netflix documentary ""Martha"" that Martha Stewart criticized in 2024?",The director is R.J. Cutler.,The director is Ava DuVernay.
Which part of Martha Stewart's life did she complain was overemphasized in her documentary?,Her 2004 Alderson Federal Prison Camp stint was overemphasized.,Her time as a television personality was overemphasized.
What specific type of music did Martha Stewart want in her documentary instead of a classical score?,She wanted rap music.,She wanted jazz music.
How did Martha Stewart view her incarceration according to her statements in 2024?,She considered it a vacation.,She considered it the most difficult period of her life.
"When was the ""Martha"" documentary released on Netflix?",It was released in 2024.,It was released in 2021.
Which district attorney expressed strong support for the Menendez brothers' bid for clemency in October 2024?,George Gascón.,Cyrus Vance Jr.
Who was the governor of California at the time the Menendez brothers sought clemency in 2024?,Gavin Newsom.,Arnold Schwarzenegger.
How many years have the Menendez brothers spent in custody as of 2024?,34 years.,28 years.
Which family member of Kittty Menendez did not support the brothers' clemency request?,Kitty Menendez’s brother.,Lyle Menendez's cousin.
Who was the attorney representing the Menendez brothers during their clemency bid in 2024?,Mark Geragos.,Alan Dershowitz.
What was the initial sentence given to the Menendez brothers after their conviction?,Life in prison without the possibility of parole.,Death penalty.
What action did George Gascón file regarding the Menendez brothers' sentencing?,A motion to resentence them from life without parole to life with parole.,A motion to reduce their sentence to 20 years.
"Under California law, why are the Menendez brothers eligible for immediate parole consideration?",They were 26 or younger at the time of their crimes.,They have served over 40 years in prison.
What date has been set for the Menendez brothers' resentencing request hearing?,"December 11, 2024.","January 15, 2025."
What did George Gascón emphasize about the Menendez brothers' behavior in prison?,Their dedication to rehabilitation and creation of support programs.,Their refusal to participate in rehabilitation programs.
How did Governor Gavin Newsom's office respond to inquiries about the Menendez brothers' clemency applications?,"They declined to comment, citing confidentiality.",They expressed public opposition to the clemency.
What did Gascón highlight as a reason for supporting clemency for the Menendez brothers?,Credible allegations of abuse by their father.,Financial hardships faced by the brothers in prison.
Which network reported on George Gascón's backing of the Menendez brothers' clemency bid?,CNN.,MSNBC.
What type of abuse did the Menendez brothers allege to have suffered from their father?,Sexual and physical abuse.,Financial exploitation.
Who announced the backing of the Menendez brothers' clemency request in 2024?,Los Angeles District Attorney George Gascón.,California Attorney General Rob Bonta.
Which Latin music superstar appeared onstage with Donald Trump in September 2024?,Nicky Jam.,Ricky Martin.
In which city did Nicky Jam withdraw his endorsement for Trump in October 2024?,Las Vegas.,Miami.
Which reggaeton star joined famous Puerto Ricans in condemning comments at Trump’s rally in October 2024?,Nicky Jam.,Luis Fonsi.
Which Vice President was receiving support from celebrities of Puerto Rican descent in October 2024?,Kamala Harris.,Mike Pence.
How many combined Instagram followers do the stars supporting Harris have as mentioned in October 2024?,390 million followers.,270 million followers.
Who is the reggaeton star that unexpectedly supported Harris in October 2024?,Bad Bunny.,Shakira.
"On what date was Beyoncé’s embrace with Kamala Harris captured, according to the article?","October 25, 2024.","October 18, 2024."
Which Hollywood star's early 2024 endorsement brought Gen Z attention to Harris' campaign?,Charli XCX.,Jennifer Lawrence.
"Which NFL quarterback joined Trump at a rally in Green Bay, Wisconsin, in October 2024?",Brett Favre.,Tom Brady.
Which social media platform did Bad Bunny use to share a video about Harris’ plans for Puerto Rico?,Instagram.,Twitter.
"On October 31, 2024, what time should one avoid shopping due to the Moon Alert in Chicago?",From 11:30 a.m. to 1 p.m.,From 12:00 p.m. to 2 p.m.
"Which astrological sign was experiencing a moon positioned opposite them on October 31, 2024?",Taurus.,Leo.
"Which ruling planet is mentioned dancing with Neptune on October 31, 2024, affecting Gemini?",Mercury.,Venus.
"What ruler of Aries is at odds with the moon on October 31, 2024?",Mars.,Saturn.
"On October 31, 2024, which astrological sign is advised to be cooperative and accommodating later in the day?",Taurus.,Aries.
"Which astrological event impacts Aries on the morning of October 31, 2024?",The moon is at odds with fiery Mars.,The moon conjoins with Venus.
"On October 31, 2024, which zodiac sign is cautioned to be patient with social outings and partners?",Gemini.,Scorpio.
During which song did Thom Yorke return to play after confronting the heckler?,Thom Yorke returned to play the Radiohead song Karma Police.,Thom Yorke returned to play the Radiohead song No Surprises.
On what date did Israel launch a campaign in response to an attack by Hamas in 2023?,The campaign was launched after the attack on 7 October 2023.,The campaign was launched after the attack on 15 September 2023.
How many people were taken hostage during the Hamas attack on southern Israel in 2023?,251 people were taken hostage during the Hamas attack.,367 people were taken hostage during the Hamas attack.
In what city did Thom Yorke confront a protester during his solo tour in Australia?,The confrontation occurred in Melbourne.,The confrontation occurred in Sydney.
For how many years has Radiohead played in Israel despite political controversies?,Radiohead has played in Israel for over 20 years.,Radiohead has played in Israel for over 15 years.
What was Thom Yorke's response to criticism about playing in Israel from pro-Palestinian activists?,Yorke stated that playing in a country isn't the same as endorsing its government.,Yorke stated that playing in a country is a form of political endorsement.
What did Yorke do with his guitar during the confrontation with the heckler?,Yorke removed his guitar and halted the set.,Yorke threw his guitar at the heckler.
What was Jonny Greenwood's stance on silencing Israeli artists?,Greenwood argued that silencing Israeli artists isn’t a way to reach understanding.,Greenwood supported the idea of silencing Israeli artists as a protest.
In what year did Thom Yorke defend Radiohead's performance in Tel Aviv amid boycott calls?,Yorke defended the performance in 2017.,Yorke defended the performance in 2022.
Who oversaw the Sidney Myer Music Bowl where Thom Yorke's concert disturbance occurred?,The Arts Centre Melbourne oversees the venue.,The Melbourne Concert Hall oversees the venue.
In what month and year did Joe Exotic announce his engagement to fellow inmate Jorge Marquez?,Joe Exotic announced his engagement in October 2024.,Joe Exotic announced his engagement in September 2024.
How long is Joe Exotic's federal prison sentence?,Joe Exotic is serving a 21-year federal prison sentence.,Joe Exotic is serving a 25-year federal prison sentence.
Where is Joe Exotic incarcerated?,"Joe Exotic is incarcerated at the Federal Medical Center in Fort Worth, Texas.","Joe Exotic is incarcerated at the Federal Medical Center in Atlanta, Georgia."
What crime was Joe Exotic convicted of that involves Carole Baskin?,Joe Exotic was convicted of scheming to hire a hitman to murder Carole Baskin.,Joe Exotic was convicted of robbery against Carole Baskin.
"In addition to scheming against Carole Baskin, what other violation was Joe Exotic convicted of?",Joe Exotic was also convicted of violating federal wildlife laws.,Joe Exotic was also convicted of tax evasion.
"What is the nationality of Joe Exotic's fiancée, Jorge Marquez?",Jorge Marquez is from Mexico.,Jorge Marquez is from Brazil.
In what month and year did Joe Exotic marry Dillon Passage?,Joe Exotic married Dillon Passage in December 2017.,Joe Exotic married Dillon Passage in January 2018.
"How many marriages has Joe Exotic had, including his engagement to Jorge Marquez?",This will be Joe Exotic's third marriage.,This will be Joe Exotic's fourth marriage.
What type of animal did Joe Exotic primarily look after at his G.W. Zoo?,Joe Exotic primarily looked after exotic big cats.,Joe Exotic primarily looked after marine animals.
How much money did Joe Exotic offer to hire a hitman according to federal prosecutors?,"Joe Exotic offered $10,000 to hire a hitman.","Joe Exotic offered $15,000 to hire a hitman."
What was Joe Exotic filming when he was arrested in 2018?,"Joe Exotic was filming the Netflix show ""Tiger King"" when he was arrested.","Joe Exotic was filming ""Survivor"" when he was arrested."
When was Joe Exotic’s sentence reduced by one year?,Joe Exotic’s sentence was reduced by one year in January 2022.,Joe Exotic’s sentence was reduced by one year in January 2021.
What age did Joe Exotic claim his fiancée Jorge Marquez is?,Joe Exotic claimed his fiancée Jorge Marquez is 33 years old.,Joe Exotic claimed his fiancée Jorge Marquez is 35 years old.
During what time period did Joe Exotic and Dillon Passage start the divorce process?,Joe Exotic and Dillon Passage filed for divorce in 2021.,Joe Exotic and Dillon Passage filed for divorce in 2020.
In what year did Joe Exotic gain worldwide fame from the Netflix docuseries?,Joe Exotic gained worldwide fame in 2020 from the Netflix docuseries.,Joe Exotic gained worldwide fame in 2019 from the Netflix docuseries.
How many husbands has Joe Exotic buried according to his statement?,Joe Exotic has buried two husbands.,Joe Exotic has buried three husbands.
What alias is Joe Exotic also known by?,Joe Exotic's real name is Joseph Maldonado-Passage.,Joe Exotic's real name is Joseph Malone-Savage.
On what date did senior Biden administration officials meet with Israel's leadership in an effort to secure a cease-fire in Lebanon?,"The meeting took place on Thursday, October 31, 2024.","The meeting took place on Wednesday, October 30, 2024."
"Where did William J. Burns, director of the CIA, meet with Egyptian President Abdel Fatah El-Sisi?",He met with El-Sisi in Cairo.,He met with El-Sisi in Tel Aviv.
What did the member of Hamas’s political bureau say about the cease-fire proposals they received?,The proposals were all rejected by Hamas.,The proposals were accepted by Hamas.
"What was Israel's stated priority, according to Prime Minister Benjamin Netanyahu, during the U.S. officials' visit?",Israel's priority was to thwart any threat to its security from Lebanon.,Israel's priority was to increase settlements in Lebanon.
Which country's President did CIA Director William J. Burns meet to discuss Gaza's situation?,He met with the President of Egypt.,He met with the President of Jordan.
What was set on fire in downtown Los Angeles following the Dodgers' World Series win?,A bus was set on fire.,A police car was set on fire.
Against which team did the Los Angeles Dodgers win the World Series in October 2024?,They won against the New York Yankees.,They won against the Boston Red Sox.
How many people were arrested in connection with the disturbances following the Dodgers' win?,A dozen people were arrested.,Two dozen people were arrested.
On which street did reports of stores being looted occur during the chaos in Los Angeles?,Looting was reported on Broadway and 8th Street.,Looting was reported on Melrose Avenue.
How many people were taken into custody on suspicion of commercial burglary?,Six people were taken into custody.,Ten people were taken into custody.
From which store were people shown looting on social media following the Dodgers' victory?,People were looting from a Nike store.,People were looting from a Macy's store.
How many World Series games did the Dodgers win to secure their victory against the Yankees?,They won four games to one.,They won four games to two.
Which city in California experienced lawlessness after the Dodgers' World Series win in 2024?,Los Angeles experienced lawlessness.,San Francisco experienced lawlessness.
"How many people in total were mentioned as involved in suspicious criminal activities, according to arrests?",Twelve people were involved in suspicious activities.,Twenty-four people were involved in suspicious activities.
"As of October 2024, who is a top election official in Arizona’s Maricopa County that faced threats for confirming the security of the 2020 election?",Stephen Richer.,Katie Hobbs.
Which Michigan state official publicly challenged Elon Musk's misinformation on social media in October 2024?,Michigan Secretary of State Jocelyn Benson.,Michigan Governor Gretchen Whitmer.
In what states did election officials express difficulty in combating misinformation from Elon Musk as of late October 2024?,"Pennsylvania, Michigan, and Arizona.","Ohio, Florida, and Georgia."
What did Elon Musk's America PAC use on X to report election irregularities in 2024?,An “Election Integrity Community” feed.,A “Voter Fraud Prevention Community” feed.
What legal maneuver did Elon Musk's lawyers file in Pennsylvania regarding his giveaway lawsuit in October 2024?,"A ""motion of removal"" to federal court.","A ""motion to dismiss"" in state court."
"When did Nick Pickles resign from his position, as mentioned regarding X's response to an election influence hearing?","September 6, 2024.","October 1, 2024."
What was the purpose of Michigan Secretary of State Jocelyn Benson gathering business and labor leaders in October 2024?,To brief them on how the state ensures every valid vote is tabulated.,To organize a fundraising event for election security.
What state does the article mention where election officials focus on regular press conferences rather than direct engagement with Musk?,Georgia.,Ohio.
"Who mentioned the importance of creating a ""paper trail"" for debunked claims to counter post-election challenges?",A Pennsylvania election official.,A Michigan election official.
During which month in 2024 did Senator Mark Warner express concern about social media platforms' preparedness for election misinformation?,September.,October.
What kind of giveaway is linked to Elon Musk's America PAC during the 2024 election season?,A daily $1 million sweepstakes for registered voters.,"A weekly $500,000 prize for Twitter users."
Which platform did CNN say was absent from a hearing on foreign election influence in 2024?,The X platform.,The Facebook platform.
Which Republican figure did Elena DiResta testify about at the hearings chaired by Jim Jordan?,Renée DiResta did not testify; Nina Jankowicz was mentioned in the article criticizing Musk.,Jocelyn Benson testified at the hearings.
"On October 30, 2024, who won the MVP award for the World Series?",Freddie Freeman won the World Series MVP.,Aaron Judge won the World Series MVP.
What was the final score of the decisive game in the 2024 World Series?,The final score was 7-6 in favor of the Dodgers.,The final score was 8-7 in favor of the Dodgers.
"On October 31, 2024, which city in New Mexico did Donald Trump visit as part of his campaign?","Donald Trump visited Albuquerque, New Mexico.","Donald Trump visited Santa Fe, New Mexico."
"How many years had it been since the GOP nominee for president was elected in the states Trump visited, as of 2024?",It had been two decades since a GOP nominee was elected there.,It had been three decades since a GOP nominee was elected there.
"As of the 2024 campaign trail, which political role does Kamala Harris hold?",Kamala Harris is the Vice President.,Kamala Harris is the Secretary of State.
"In 2024, trailed by more than 5 points, which states did Trump visit where he previously lost by double digits in 2020?",Trump visited New Mexico and Virginia.,Trump visited Florida and Ohio.
What significant event involving Shohei Ohtani is highlighted in the 2024 World Series coverage?,Shohei Ohtani won his first World Series with the Dodgers.,Shohei Ohtani was the losing pitcher in the final game.
"According to the article, how many inches of rain did some areas in Spain record during the 2024 flood disaster?",Some areas recorded nearly 8 inches of rain.,Some areas recorded nearly 3 inches of rain.
How many World Series titles have the Dodgers won in the last five years as of 2024?,The Dodgers have won two World Series titles.,The Dodgers have won three World Series titles.
In which U.S. state did Kamala Harris court young voters while Trump highlighted Biden's comments during a 2024 campaign event?,The event occurred in Wisconsin.,The event occurred in Michigan.
How many fatalities occurred in Spain due to the torrential rain in October 2024?,At least 95 people were killed.,At least 50 people were killed.
"Which scientist-involved facility is aiming to study neutrinos deep underground as reported on October 31, 2024?",The Underground Neutrino Observatory is studying neutrinos.,The Fermilab Neutrino Facility is studying neutrinos.
"During the 2024 presidential campaign, which battleground state did Harris and Trump both visit recently according to the article?",They both visited Wisconsin.,They both visited Georgia.
How did the Los Angeles Dodgers pull ahead for good in Game 5 of the 2024 World Series?,The Dodgers took the lead for good with two sacrifice flies in the eighth inning.,The Dodgers took the lead for good with a grand slam in the ninth inning.
Who was banned from Game 5 of the 2024 World Series for interference and had their tickets given to a cancer patient?,Two Yankees fans were banned.,Two Dodgers fans were banned.
"Where did former President Donald Trump hold a rally on October 31, 2024?","Henderson, Nevada.","Phoenix, Arizona."
"On October 31, 2024, where did Vice President Kamala Harris hold a rally encouraging Nevada voters?","Craig Ranch Amphitheater in Las Vegas, Nevada.","Albuquerque Convention Center in Albuquerque, New Mexico."
"As of October 31, 2024, what percentage of active voters had cast ballots in Georgia?",More than 50%.,Less than 30%.
"Who called on Latino voters to support Kamala Harris at a rally in Las Vegas on October 31, 2024?",Jennifer Lopez.,Shakira.
What new cabinet position did Trump announce he would create if re-elected in October 2024?,A position aimed at reducing the cost of living.,A position for international trade expansion.
Who endorsed Kamala Harris for president as a sports figure in October 2024?,LeBron James.,Tiger Woods.
"What was the significant turnout event noted in Georgia on October 31, 2024?",Over 3.7 million have already cast their ballots.,Only 1 million have already cast their ballots.
"Why was Stormy Daniels honored by witches in Salem on October 31, 2024?","She was given the ""Salem’s Witches’ Woman of Power Award.""","She was awarded the ""Salem's Sorceress of Justice Award."""
How many felony counts was Trump convicted of in the New York hush money trial involving Stormy Daniels?,34 felony counts.,22 felony counts.
"What city did Kamala Harris visit in Arizona on October 31, 2024, for her campaign?","Phoenix, Arizona.","Tucson, Arizona."
What role did Howard Lutnick claim Robert F. Kennedy Jr. would not obtain under Trump's administration?,Secretary of Health and Human Services.,Secretary of Commerce.
"Where did Trump make his claim to be the 'father of IVF' on October 31, 2024?","Henderson, Nevada.","El Paso, Texas."
"Which U.S. state court ruled on undated absentee ballots on October 31, 2024?",Pennsylvania state court.,New York state court.
"How long did Trump speak at a rally in Nevada on October 31, 2024?",More than 90 minutes.,Exactly 50 minutes.
Who hosted a concert for Harris' campaign in Milwaukee?,Cardi B.,Taylor Swift.
"What did Kamala Harris say about Trump’s vow to protect women ""whether the women like it or not""?","She found it ""very offensive to women.""","She described it as ""surprisingly considerate."""
"Who celebrated their victory in the World Series on October 31, 2024?",Los Angeles Dodgers.,New York Yankees.
"As of October 2024, how many North Korean troops were confirmed to be in or approaching the Kursk region?","About 3,000 North Korean troops.","About 1,000 North Korean troops."
Which US governmental body confirmed the presence of North Korean troops in the Kursk region in October 2024?,The United States Pentagon.,The Central Intelligence Agency.
What was the casualty figure reported for the Russian forces in the Kursk region over the past three months as of October 2024?,"Russia had suffered 17,800 casualties.","Russia had suffered 10,000 casualties."
How many North Korean troops had been sent for training in eastern Russia according to the October 2024 report?,"North Korea sent a total of 10,000 troops.","North Korea sent a total of 5,000 troops."
Who confirmed the deployment of North Korean troops to the Kursk region on a Monday in October 2024?,NATO Secretary-General Mark Rutte.,United Nations Secretary-General António Guterres.
"As of October 2024, what did Ukrainian ground forces commander Oleksandr Pavlyuk report in terms of Russian combat casualties in the past week?","An estimated 10,520 Russians were dead or wounded.","An estimated 5,200 Russians were dead or wounded."
How much of its drone contract had Ukraine fulfilled by October 2024?,Nearly 1.3 million drones had been delivered.,Nearly 2 million drones had been delivered.
"In October 2024, which high-ranking official specified that North Korea had sent troops to Russia's Kursk region?",Pentagon spokesman Pat Ryder.,Secretary of Defense Lloyd Austin.
Which South Korean news agency reported on Seoul's decision regarding military assistance to Ukraine in October 2024?,Yonhap News Agency.,The Korea Herald.
Who mentioned that North Korean troop deployment presents challenges such as desertion or defection in October 2024?,Olena Guseinova.,Pavlo Kyrylenko.
What did Olena Guseinova in her report in October 2024 suggest North Korea could potentially supply Russia with?,"3 to 4 units, comprising 15,000 to 20,000 soldiers.","10 to 12 units, comprising 30,000 to 40,000 soldiers."
"In October 2024, what did South Korea decide about sending 155mm shells to Ukraine?",Seoul decided not to send shells.,Seoul decided to send shells.
How did German defense contractor Rheinmetall enhance Ukraine's defense capabilities in 2024?,By building the first of four plants to produce Lynx armoured fighting vehicles.,By supplying 100 Leopard 2 tanks.
How many square kilometers per day was Russia advancing on average in September 2024?,14 square kilometres.,50 square kilometres.
How did the BRICS Kazan Declaration call for resolving the Ukraine conflict in 2024?,It emphasized a peaceful resolution consistent with the UN Charter.,It called for military intervention.
Which country hosted the BRICS summit in October 2024?,Russia in Kazan.,China in Beijing.
